Study_ID,Baby_ID,Trial ,Trial Type,Looking Time_Online (ms)
S13,54176,1,Non-Match,16730
S13,54176,2,Match,17195
S13,54176,3,Match,14681
S13,54176,4,Non-Match,17124
S13,54176,5,Match,16584
S13,54176,6,Non-Match,14966
S13,54176,7,Non-Match,15978
S13,54176,8,Match,16907
S13,54176,9,Non-Match,14850
S13,54176,10,Match,12398
S13,54176,11,Match,14888
S13,54176,12,Non-Match,15356
S15,54960,1,Match,15445
S15,54960,2,Non-Match,17493
S15,54960,3,Non-Match,17330
S15,54960,4,Match,18361
S15,54960,5,Non-Match,17856
S15,54960,6,Match,17951
S15,54960,7,Match,16643
S15,54960,8,Non-Match,9135
S15,54960,9,Match,16147
S15,54960,10,Non-Match,15780
S15,54960,11,Non-Match,17571
S15,54960,12,Match,18328
S17,54557,1,Match,18424
S17,54557,2,Non-Match,5791
S17,54557,3,Non-Match,15281
S17,54557,4,Match,14570
S17,54557,5,Non-Match,9608
S17,54557,6,Match,12477
S17,54557,7,Match,15995
S17,54557,8,Non-Match,5000
S17,54557,9,Match,6519
S17,54557,10,Non-Match,5235
S17,54557,11,Non-Match,4640
S17,54557,12,Match,4877
S20,54259,1,Match,16881
S20,54259,2,Non-Match,1953
S20,54259,3,Non-Match,18264
S20,54259,4,Match,6837
S20,54259,5,Non-Match,4783
S20,54259,6,Match,5022
S20,54259,7,Match,5679
S20,54259,8,Non-Match,9639
S20,54259,9,Match,5424
S20,54259,10,Non-Match,6380
S20,54259,11,Non-Match,4062
S20,54259,12,Match,6430
S21,54516,1,Match,3593
S21,54516,2,Non-Match,18969
S21,54516,3,Non-Match,18085
S21,54516,4,Match,15386
S21,54516,5,Non-Match,18810
S21,54516,6,Match,12344
S21,54516,7,Match,17522
S21,54516,8,Non-Match,12952
S21,54516,9,Match,2450
S21,54516,10,Non-Match,10239
S21,54516,11,Non-Match,3741
S21,54516,12,Match,9847
S22,54469,1,Match,13740
S22,54469,2,Non-Match,5154
S22,54469,3,Non-Match,4117
S22,54469,4,Match,7797
S22,54469,5,Non-Match,2400
S22,54469,6,Match,10568
S22,54469,7,Match,4967
S22,54469,8,Non-Match,4927
S22,54469,9,Match,3400
S22,54469,10,Non-Match,6833
S22,54469,11,Non-Match,8152
S22,54469,12,Match,5609
S24,53110,1,Non-Match,16854
S24,53110,2,Match,7555
S24,53110,3,Match,5923
S24,53110,4,Non-Match,6319
S24,53110,5,Match,5504
S24,53110,6,Non-Match,3830
S24,53110,7,Non-Match,17699
S24,53110,8,Match,5611
S24,53110,9,Non-Match,21438
S24,53110,10,Match,15911
S24,53110,11,Match,7672
S24,53110,12,Non-Match,6237
S25,54159,1,Non-Match,18588
S25,54159,2,Match,9447
S25,54159,3,Match,13926
S25,54159,4,Non-Match,12845
S25,54159,5,Match,4903
S25,54159,6,Non-Match,12009
S25,54159,7,Non-Match,21859
S25,54159,8,Match,5033
S25,54159,9,Non-Match,10559
S25,54159,10,Match,11631
S25,54159,11,Match,4617
S25,54159,12,Non-Match,14320
S27,50624,1,Non-Match,11689
S27,50624,2,Match,6328
S27,50624,3,Match,4035
S27,50624,4,Non-Match,4704
S27,50624,5,Match,7826
S27,50624,6,Non-Match,3975
S27,50624,7,Non-Match,4566
S27,50624,8,Match,7410
S27,50624,9,Non-Match,6137
S27,50624,10,Match,4121
S27,50624,11,Match,16298
S27,50624,12,Non-Match,6786
S28,54431,1,Non-Match,15906
S28,54431,2,Match,12688
S28,54431,3,Match,14721
S28,54431,4,Non-Match,7205
S28,54431,5,Match,11847
S28,54431,6,Non-Match,5119
S28,54431,7,Non-Match,11041
S28,54431,8,Match,12070
S28,54431,9,Non-Match,3568
S28,54431,10,Match,15360
S28,54431,11,Match,6504
S28,54431,12,Non-Match,2489
S29,52400,1,Non-Match,14051
S29,52400,2,Match,16526
S29,52400,3,Match,15060
S29,52400,4,Non-Match,5806
S29,52400,5,Match,6430
S29,52400,6,Non-Match,3674
S29,52400,7,Non-Match,15461
S29,52400,8,Match,8167
S29,52400,9,Non-Match,2248
S29,52400,10,Match,8804
S29,52400,11,Match,6989
S29,52400,12,Non-Match,2438
S30 ,54080,1,Non-Match,13854
S30 ,54080,2,Match,7193
S30 ,54080,3,Match,2033
S30 ,54080,4,Non-Match,9591
S30 ,54080,5,Match,4199
S30 ,54080,6,Non-Match,12487
S30 ,54080,7,Non-Match,6132
S30 ,54080,8,Match,1775
S30 ,54080,9,Non-Match,6814
S30 ,54080,10,Match,5382
S30 ,54080,11,Match,4097
S30 ,54080,12,Non-Match,3127
S31,54565,1,Match,7832
S31,54565,2,Non-Match,16352
S31,54565,3,Non-Match,17566
S31,54565,4,Match,17259
S31,54565,5,Non-Match,6748
S31,54565,6,Match,4765
S31,54565,7,Match,8395
S31,54565,8,Non-Match,4167
S31,54565,9,Match,1943
S31,54565,10,Non-Match,14484
S31,54565,11,Non-Match,2066
S31,54565,12,Match,3122
S32,54499,1,Non-Match,12223
S32,54499,2,Match,12224
S32,54499,3,Match,18595
S32,54499,4,Non-Match,10576
S32,54499,5,Match,15791
S32,54499,6,Non-Match,6239
S32,54499,7,Non-Match,7012
S32,54499,8,Match,5544
S32,54499,9,Non-Match,6880
S32,54499,10,Match,11272
S32,54499,11,Match,17565
S32,54499,12,Non-Match,8790
